LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Logan Allen,663531,L,SI,2024,99,4.92,89.0,-1.8,6.1,6.1,-12.1,24.8,-23.9,-12.8,9.2,16.5,-26.2,1888,-0.9,-1.1,34.6,34.2
AAA,Logan Allen,671106,L,FF,2023,160,2.2,92.1,-2.4,6.4,5.3,-4.9,29.0,-15.7,-4.9,16.8,17.6,-15.6,2127,3.2,1.3,62.0,59.3
AAA,Logan Allen,671106,L,FF,2024,334,-1.72,90.6,-1.5,6.2,5.6,-7.0,27.0,-17.5,-7.2,15.2,17.3,-18.2,2113,-0.1,-0.0,45.3,50.4
AAA,Logan Cozart,664910,R,FF,2022,236,-2.74,90.2,-0.8,6.0,6.4,-2.4,25.0,-16.7,-2.5,16.2,16.6,-17.4,2082,2.3,0.5,46.8,43.2
AAA,Logan Gillaspie,670810,R,FF,2023,350,-1.25,95.0,-0.5,6.3,6.1,-8.8,30.6,-14.2,-8.3,17.2,19.1,-13.3,2188,2.1,1.1,50.8,50.9
AAA,Logan Gillaspie,670810,R,FF,2024,326,3.14,94.4,-0.5,6.2,6.0,-7.0,27.9,-15.9,-6.6,15.6,16.8,-15.2,2210,2.2,1.1,50.1,46.1
AAA,Logan Gragg,685401,R,FF,2023,71,0.03,91.4,-1.4,5.8,6.3,-10.6,26.9,-17.9,-11.0,14.5,18.4,-18.5,2163,1.6,1.3,44.5,46.6
AAA,Logan Gragg,685401,R,FF,2024,26,2.58,92.2,-1.0,5.7,6.2,-13.0,27.5,-22.4,-13.0,10.1,17.3,-22.4,2252,-0.6,-0.8,37.8,41.9
AAA,Logan Gragg,685401,R,SI,2023,63,5.87,91.9,-1.6,5.8,6.0,-16.4,26.9,-23.8,-16.9,8.6,18.9,-24.6,2173,-2.3,-3.9,38.6,41.7
AAA,Logan Gragg,685401,R,SI,2024,28,-2.36,92.0,-1.1,5.8,6.0,-16.5,27.9,-23.4,-17.2,9.1,19.2,-23.9,2169,-1.8,-2.8,37.8,43.1
