LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Raymond Burgos,670103,L,CH,2023,126,-1.55,83.8,-2.3,5.8,5.6,-11.1,21.6,-29.8,-13.6,3.0,14.0,-36.3,1523,-0.2,-0.8,44.5,47.3
AAA,Raymond Burgos,670103,L,CH,2024,33,-4.42,83.5,-2.5,5.8,5.7,-12.8,22.7,-30.5,-16.1,2.2,16.3,-37.8,1480,-0.1,-0.7,44.3,44.5
AAA,Raymond Burgos,670103,L,SL,2023,42,-1.12,84.6,-2.2,5.6,5.8,0.4,23.5,-30.2,0.6,2.5,3.0,-36.3,2178,3.0,0.6,45.8,48.5
AAA,Raymond Burgos,670103,L,SL,2024,57,3.42,81.2,-2.5,5.5,5.7,1.7,22.5,-32.0,2.3,0.2,3.0,-42.4,2138,0.0,1.2,44.7,47.4
AAA,Raymond Burgos,670103,L,ST,2024,65,0.37,77.2,-2.6,5.6,5.7,5.8,20.3,-32.1,8.5,0.1,8.8,-47.0,2287,1.0,5.0,45.3,50.5
AAA,Raynel Espinal,642659,R,CH,2022,152,-1.64,87.4,-2.5,6.3,5.9,-11.3,24.3,-27.8,-12.6,4.8,13.9,-30.6,1692,-2.3,-4.2,44.9,41.8
AAA,Raynel Espinal,642659,R,SL,2022,585,-0.73,83.2,-2.6,6.3,5.8,3.3,21.4,-28.3,4.1,4.8,7.0,-34.6,2272,1.0,-0.6,44.8,54.0
AAA,Reagan Todd,657047,L,CH,2022,166,0.87,83.9,-1.8,6.2,5.6,-9.2,21.0,-28.2,-10.9,4.7,12.2,-34.0,1353,-0.0,0.0,45.7,49.8
AAA,Reagan Todd,657047,L,SL,2022,191,-2.2,79.3,-1.6,6.3,5.7,6.9,21.0,-36.7,9.4,-6.1,11.5,-49.7,1869,1.6,2.1,51.8,30.0
AAA,Reed Garrett,657585,R,CU,2023,30,6.93,83.8,-1.8,6.2,5.7,3.6,23.0,-37.6,4.3,-6.6,8.2,-45.6,2498,-1.0,-0.7,47.3,48.8
AAA,Reed Garrett,657585,R,FC,2023,191,-1.3,89.6,-1.9,6.3,5.6,4.6,25.0,-28.0,4.9,4.4,6.8,-29.6,2385,4.1,-1.9,52.8,57.6
AAA,Reed Garrett,657585,R,FS,2023,100,6.43,87.4,-1.8,6.4,5.7,-10.1,24.2,-28.6,-11.2,4.0,11.9,-31.6,1468,-2.5,-4.0,45.7,45.3
AAA,Reed Garrett,657585,R,ST,2023,29,-0.38,85.3,-2.5,6.2,5.7,10.1,25.3,-32.9,12.0,-0.8,12.1,-38.5,2594,3.5,7.2,48.7,58.4
AAA,Reese Olson,681857,R,CH,2023,181,-0.87,87.7,-2.9,5.7,6.0,-11.0,24.6,-31.9,-12.6,0.4,12.6,-36.1,2246,-0.8,-5.0,41.8,41.2
AAA,Reese Olson,681857,R,CH,2024,25,0.76,86.5,-2.9,5.8,6.0,-12.2,24.8,-32.1,-14.2,0.1,14.2,-37.1,1997,-0.8,-5.4,46.6,39.0
AAA,Reese Olson,681857,R,CU,2023,68,0.99,79.2,-2.7,5.6,6.4,8.0,24.2,-42.8,11.4,-15.0,19.2,-60.6,2846,1.0,0.6,48.0,59.9
AAA,Reese Olson,681857,R,SL,2023,124,0.23,84.4,-2.8,5.7,6.1,8.0,23.8,-32.7,9.6,-0.6,10.2,-39.6,2990,1.1,4.2,52.1,67.5
AAA,Reggie Crawford,686846,L,SL,2024,27,4.11,81.9,-1.6,6.5,5.4,7.8,22.0,-36.9,9.6,-5.9,11.6,-46.5,2241,0.6,1.0,54.2,42.4
AAA,Reid Birlingmair,679304,R,CU,2024,20,-0.25,81.3,-1.8,5.7,5.8,4.2,21.8,-40.4,5.6,-11.0,12.9,-53.1,1796,-0.1,-0.0,49.6,40.3
AAA,Reid Birlingmair,679304,R,FC,2024,177,-3.71,90.5,-1.8,5.7,5.7,3.8,24.8,-27.5,4.2,4.9,7.0,-28.8,2622,3.7,-1.0,49.7,52.9
AAA,Reid Detmers,672282,L,CH,2024,93,-5.13,84.3,-1.7,6.1,6.0,-6.8,21.4,-23.6,-8.0,10.2,13.4,-28.2,1387,-2.3,-1.6,44.0,56.1
AAA,Reid Detmers,672282,L,CU,2024,185,1.35,73.6,-1.6,5.9,6.2,5.1,18.3,-39.5,8.0,-11.8,14.4,-63.2,2402,1.0,0.6,46.2,56.4
AAA,Reid Detmers,672282,L,SL,2022,23,9.78,86.0,-1.8,5.3,6.0,1.9,24.6,-38.1,2.2,-7.0,7.3,-45.8,2339,-2.2,-1.3,44.4,39.4
AAA,Reid Detmers,672282,L,SL,2024,355,0.59,87.9,-1.7,6.2,6.1,1.1,24.8,-30.2,1.2,2.2,3.6,-33.5,2160,1.5,0.0,48.0,43.5
AAA,Reiss Knehr,663753,R,CH,2022,279,-3.94,88.6,-1.5,6.6,5.6,-12.9,23.6,-27.5,-13.8,5.2,14.8,-29.1,1850,-0.6,-1.4,36.9,30.6
AAA,Reiss Knehr,663753,R,CH,2023,73,-0.34,87.9,-2.7,6.7,5.4,-12.7,23.6,-28.8,-13.6,3.6,14.4,-31.0,1901,-0.6,-2.1,39.9,35.8
AAA,Reiss Knehr,663753,R,CU,2022,105,2.71,80.4,-1.7,6.6,5.6,6.3,20.5,-34.2,8.2,-2.5,8.6,-44.9,2066,1.0,2.3,47.7,37.2
AAA,Reiss Knehr,663753,R,FC,2022,87,0.78,88.1,-1.5,6.5,5.7,2.3,23.3,-29.0,2.4,3.5,4.4,-31.6,2277,2.1,-0.6,49.3,47.0
